|purchaseorderid|vendorid|employeeid|subtotal  |
|964            |1,610   |254       |22,516.725 |
|965            |1,644   |258       |3,713.325  |
|966            |1,680   |254       |63,831.075 |
|967            |1,584   |257       |16,340.31  |
|968            |1,620   |261       |5,711.475  |
|969            |1,638   |257       |34,644.225 |
|970            |1,582   |261       |364.9275   |
|971            |1,510   |251       |143.0415   |
|972            |1,526   |253       |28,199.325 |
|973            |1,666   |250       |360.045    |
|974            |1,592   |253       |97.965     |
|975            |1,618   |255       |114.471    |
|976            |1,612   |256       |132.6465   |
|977            |1,644   |255       |3,713.325  |
|978            |1,680   |256       |63,831.075 |
|979            |1,584   |259       |16,340.31  |
|980            |1,620   |260       |5,711.475  |
|981            |1,666   |250       |235.9035   |
|982            |1,592   |254       |97.965     |
|983            |1,618   |257       |114.471    |
|984            |1,612   |261       |132.6465   |
|985            |1,586   |251       |43,878.45  |
|986            |1,500   |253       |418.95     |
|987            |1,656   |255       |402.7275   |
|988            |1,572   |256       |461.79     |
|989            |1,562   |259       |592.7985   |
|990            |1,662   |260       |37.0755    |
|991            |1,682   |258       |21,558.075 |
|992            |1,686   |254       |260.1585   |
|993            |1,684   |257       |45,172.05  |
|994            |1,534   |261       |254.583    |
|995            |1,614   |251       |390.6      |
|996            |1,588   |253       |40,471.2   |
|997            |1,622   |255       |389.655    |
|998            |1,632   |256       |62,092.8   |
|999            |1,608   |252       |5,948.25   |
|1,000          |1,576   |260       |91,117.95  |
|1,001          |1,590   |258       |525        |
|1,002          |1,514   |254       |281.8935   |
|1,003          |1,498   |257       |26,455.275 |
|1,004          |1,674   |261       |944.37     |
|1,005          |1,652   |250       |51,588.075 |
|1,006          |1,578   |253       |62,843.55  |
|1,007          |1,538   |255       |37,843.575 |
|1,008          |1,556   |256       |25,531.275 |
|1,009          |1,554   |259       |688.086    |
|1,010          |1,688   |260       |125.748    |
|1,011          |1,580   |258       |150.7905   |
|1,012          |1,496   |254       |279.783    |
|1,013          |1,586   |259       |43,878.45  |
|1,014          |1,500   |260       |418.95     |
|1,015          |1,656   |258       |3,939.012  |
|1,016          |1,572   |254       |461.79     |
|1,017          |1,562   |252       |797.895    |
|1,018          |1,662   |261       |37.0755    |
|1,019          |1,682   |251       |21,558.075 |
|1,020          |1,686   |253       |422.1      |
|1,021          |1,684   |255       |86,220.75  |
|1,022          |1,534   |256       |261.1035   |
|1,023          |1,614   |259       |428.4      |
|1,024          |1,588   |260       |40,471.2   |
|1,025          |1,494   |252       |8,847.3    |
|1,026          |1,650   |261       |171.0765   |
|1,027          |1,654   |251       |20,397.3   |
|1,028          |1,664   |253       |14,628.075 |
|1,029          |1,678   |255       |58,685.55  |
|1,030          |1,616   |256       |370.755    |
|1,031          |1,492   |259       |501.1965   |
|1,032          |1,602   |260       |270.8055   |
|1,033          |1,540   |258       |416.745    |
|1,034          |1,628   |254       |34,644.225 |
|1,035          |1,604   |257       |1,839.5055 |
|1,036          |1,690   |261       |146.286    |
|1,037          |1,566   |251       |102.564    |
|1,038          |1,698   |253       |150.7905   |
|1,039          |1,560   |255       |13,669.425 |
|1,040          |1,692   |256       |2,934.54   |
|1,041          |1,696   |259       |73,377.15  |
|1,042          |1,504   |260       |551.88     |
|1,043          |1,544   |258       |3,176.25   |
|1,044          |1,530   |254       |28,072.275 |
|1,045          |1,508   |257       |37,312.275 |
|1,046          |1,694   |261       |7,623      |
|1,047          |1,624   |251       |28,297.5   |
|1,048          |1,548   |253       |59.9445    |
|1,049          |1,598   |252       |598.878    |
|1,050          |1,658   |256       |43,878.45  |
|1,051          |1,536   |259       |481.887    |
|1,052          |1,568   |260       |10,631.775 |
|1,053          |1,648   |258       |142.4115   |
|1,054          |1,646   |254       |28,794.15  |
|1,055          |1,672   |257       |51,807.3465|
|1,056          |1,600   |261       |1,276.275  |
|1,057          |1,622   |258       |836.01     |
|1,058          |1,632   |254       |62,092.8   |
|1,059          |1,608   |257       |5,948.25   |
|1,060          |1,576   |261       |91,117.95  |
|1,061          |1,590   |251       |525        |
|1,062          |1,514   |253       |1,721.79   |
|1,063          |1,498   |255       |26,455.275 |
|1,064          |1,674   |256       |944.37     |
|1,065          |1,522   |251       |2,003.925  |
|1,066          |1,570   |253       |50,860.425 |
|1,067          |1,516   |255       |454.86     |
|1,068          |1,506   |252       |43,878.45  |
|1,069          |1,626   |259       |7,132.125  |
|1,070          |1,542   |260       |28,343.7   |
|1,071          |1,610   |258       |22,516.725 |
|1,072          |1,638   |250       |34,644.225 |
|1,073          |1,582   |257       |427.9275   |
|1,074          |1,510   |261       |143.0415   |
|1,075          |1,526   |251       |28,199.325 |
|1,076          |1,644   |253       |3,713.325  |
|1,077          |1,680   |255       |63,831.075 |
|1,078          |1,584   |256       |16,340.31  |
|1,079          |1,620   |259       |5,711.475  |
|1,080          |1,666   |260       |429.345    |
|1,081          |1,652   |259       |51,588.075 |
|1,082          |1,578   |260       |36,122.625 |
|1,083          |1,538   |258       |37,843.575 |
|1,084          |1,556   |254       |25,531.275 |
|1,085          |1,554   |257       |1,094.7825 |
|1,086          |1,688   |261       |125.748    |
|1,087          |1,580   |251       |150.7905   |
|1,088          |1,496   |253       |690.4485   |
|1,089          |1,494   |252       |8,847.3    |
|1,090          |1,650   |256       |171.0765   |
|1,091          |1,654   |259       |20,397.3   |
|1,092          |1,664   |260       |14,628.075 |
|1,093          |1,678   |258       |58,685.55  |
|1,094          |1,616   |254       |228.123    |
|1,095          |1,492   |257       |593.586    |
|1,096          |1,602   |261       |1,525.23   |
|1,097          |1,540   |251       |776.79     |
|1,098          |1,628   |253       |34,644.225 |
|1,099          |1,604   |255       |1,839.5055 |
|1,100          |1,690   |252       |146.286    |
|1,101          |1,566   |259       |102.564    |
|1,102          |1,698   |260       |150.7905   |
|1,103          |1,560   |258       |13,669.425 |
|1,104          |1,692   |250       |6,444.9    |
|1,105          |1,696   |257       |50,860.425 |
|1,106          |1,504   |261       |551.88     |
|1,107          |1,544   |251       |6,987.75   |
|1,108          |1,530   |253       |28,072.275 |
|1,109          |1,508   |255       |37,312.275 |
|1,110          |1,694   |256       |7,623      |
|1,111          |1,624   |259       |28,297.5   |
|1,112          |1,548   |260       |59.9445    |
|1,113          |1,598   |258       |339.255    |
|1,114          |1,658   |254       |43,878.45  |
|1,115          |1,536   |257       |2,423.232  |
|1,116          |1,568   |261       |29,989.575 |
|1,117          |1,648   |251       |142.4115   |
|1,118          |1,646   |253       |19,236.525 |
|1,119          |1,672   |255       |693.5985   |
|1,120          |1,600   |256       |1,276.275  |
|1,121          |1,522   |259       |2,003.925  |
|1,122          |1,570   |250       |28,343.7   |
|1,123          |1,516   |258       |454.86     |
|1,124          |1,506   |254       |43,878.45  |
|1,125          |1,626   |257       |7,132.125  |
|1,126          |1,542   |261       |28,343.7   |
|1,127          |1,610   |251       |22,516.725 |
|1,128          |1,638   |253       |34,644.225 |
|1,129          |1,582   |255       |662.6655   |
|1,130          |1,510   |256       |143.0415   |
|1,131          |1,526   |259       |28,199.325 |
|1,132          |1,644   |260       |3,713.325  |
|1,133          |1,680   |250       |63,831.075 |
|1,134          |1,584   |254       |6,540.66   |
|1,135          |1,620   |257       |5,711.475  |
|1,136          |1,666   |261       |540.8865   |
|1,137          |1,592   |251       |97.965     |
|1,138          |1,618   |253       |114.471    |
|1,139          |1,612   |255       |132.6465   |
|1,140          |1,586   |256       |43,878.45  |
|1,141          |1,500   |259       |418.95     |
|1,142          |1,656   |260       |272.4435   |
|1,143          |1,572   |258       |461.79     |
|1,144          |1,562   |254       |259.8435   |
|1,145          |1,662   |257       |37.0755    |
|1,146          |1,682   |261       |21,558.075 |
|1,147          |1,686   |251       |663.6735   |
|1,148          |1,684   |253       |86,220.75  |
|1,149          |1,534   |255       |602.2485   |
|1,150          |1,614   |256       |409.5      |
|1,151          |1,588   |252       |40,471.2   |
|1,152          |1,622   |260       |253.323    |
|1,153          |1,632   |258       |62,092.8   |
|1,154          |1,608   |254       |5,948.25   |
|1,155          |1,576   |257       |91,117.95  |
|1,156          |1,590   |261       |525        |
|1,157          |1,514   |250       |2,003.6835 |
|1,158          |1,498   |253       |26,455.275 |
|1,159          |1,674   |255       |944.37     |
|1,160          |1,652   |256       |48,186.6   |
|1,161          |1,578   |259       |26,720.925 |
|1,162          |1,538   |260       |37,843.575 |
|1,163          |1,556   |258       |25,531.275 |
|1,164          |1,554   |254       |278.838    |
|1,165          |1,688   |252       |125.748    |
|1,166          |1,580   |261       |150.7905   |
|1,167          |1,496   |251       |751.59     |
|1,168          |1,494   |253       |8,847.3    |
|1,169          |1,650   |255       |171.0765   |
|1,170          |1,654   |256       |20,397.3   |
|1,171          |1,664   |259       |14,628.075 |
|1,172          |1,678   |260       |33,350.625 |
|1,173          |1,616   |258       |339.255    |
|1,174          |1,492   |254       |278.838    |
|1,175          |1,602   |257       |1,796.0355 |
|1,176          |1,540   |261       |484.407    |
|1,177          |1,628   |251       |34,644.225 |
|1,178          |1,604   |253       |1,839.5055 |
|1,179          |1,690   |255       |146.286    |
|1,180          |1,566   |256       |102.564    |
|1,181          |1,698   |259       |150.7905   |
|1,182          |1,560   |260       |13,669.425 |
|1,183          |1,692   |258       |9,948.33   |
|1,184          |1,696   |254       |28,343.7   |
|1,185          |1,504   |257       |551.88     |
|1,186          |1,544   |261       |6,987.75   |
|1,187          |1,530   |251       |28,072.275 |
|1,188          |1,508   |253       |37,312.275 |
|1,189          |1,694   |252       |7,623      |
|1,190          |1,624   |256       |28,297.5   |
|1,191          |1,548   |259       |59.9445    |
|1,192          |1,598   |260       |117.432    |
|1,193          |1,658   |258       |43,878.45  |
|1,194          |1,536   |254       |247.2435   |
|1,195          |1,568   |257       |49,376.25  |
|1,196          |1,648   |261       |142.4115   |
|1,197          |1,646   |251       |48,030.675 |
|1,198          |1,672   |253       |51,113.748 |
|1,199          |1,600   |255       |1,276.275  |
|1,200          |1,522   |252       |2,003.925  |
|1,201          |1,570   |259       |22,516.725 |
|1,202          |1,516   |260       |454.86     |
|1,203          |1,506   |258       |43,878.45  |
|1,204          |1,626   |250       |7,132.125  |
|1,205          |1,542   |257       |28,343.7   |
|1,206          |1,610   |261       |22,516.725 |
|1,207          |1,638   |251       |34,644.225 |
|1,208          |1,582   |253       |625.086    |
|1,209          |1,510   |255       |143.0415   |
|1,210          |1,526   |256       |28,199.325 |
|1,211          |1,644   |259       |3,713.325  |
|1,212          |1,680   |260       |43,878.45  |
|1,213          |1,584   |258       |9,799.65   |
|1,214          |1,620   |254       |5,711.475  |
|1,215          |1,666   |257       |1,099.035  |
|1,216          |1,592   |261       |97.965     |
|1,217          |1,618   |251       |114.471    |
|1,218          |1,612   |253       |132.6465   |
|1,219          |1,586   |255       |43,878.45  |
|1,220          |1,500   |256       |418.95     |
|1,221          |1,656   |259       |513.1665   |
|1,222          |1,572   |250       |461.79     |
|1,223          |1,562   |258       |364.455    |
|1,224          |1,662   |254       |37.0755    |
|1,225          |1,682   |257       |21,558.075 |
|1,226          |1,686   |261       |507.087    |
|1,227          |1,684   |251       |86,220.75  |
|1,228          |1,534   |253       |111.5415   |
|1,229          |1,614   |255       |390.6      |
|1,230          |1,588   |256       |40,471.2   |
|1,231          |1,622   |259       |136.332    |
|1,232          |1,632   |260       |38,421.075 |
|1,233          |1,608   |250       |5,948.25   |
|1,234          |1,576   |254       |91,117.95  |
|1,235          |1,590   |257       |525        |
|1,236          |1,514   |261       |2,003.6835 |
|1,237          |1,498   |251       |26,455.275 |
|1,238          |1,674   |253       |944.37     |
|1,239          |1,652   |255       |3,401.475  |
|1,240          |1,578   |256       |62,843.55  |
|1,241          |1,538   |259       |37,843.575 |
|1,242          |1,556   |260       |25,531.275 |
|1,243          |1,554   |258       |415.3275   |
|1,244          |1,688   |254       |125.748    |
|1,245          |1,580   |257       |150.7905   |
|1,246          |1,496   |261       |347.445    |
|1,247          |1,494   |251       |8,847.3    |
|1,248          |1,650   |253       |171.0765   |
|1,249          |1,654   |255       |20,397.3   |
|1,250          |1,664   |256       |14,628.075 |
|1,251          |1,678   |252       |25,334.925 |
|1,252          |1,616   |260       |260.1585   |
|1,253          |1,492   |258       |415.3275   |
|1,254          |1,602   |254       |270.8055   |
|1,255          |1,540   |257       |3,052.5075 |
|1,256          |1,628   |261       |34,644.225 |
|1,257          |1,604   |250       |1,839.5055 |
|1,258          |1,690   |253       |146.286    |
|1,259          |1,566   |255       |102.564    |
|1,260          |1,698   |256       |150.7905   |
|1,261          |1,560   |259       |13,669.425 |
|1,262          |1,692   |260       |6,444.9    |
|1,263          |1,696   |258       |50,860.425 |
|1,264          |1,504   |254       |551.88     |
|1,265          |1,544   |252       |6,987.75   |
|1,266          |1,530   |261       |28,072.275 |
|1,267          |1,508   |251       |37,312.275 |
|1,268          |1,694   |253       |7,623      |
|1,269          |1,624   |255       |28,297.5   |
|1,270          |1,548   |256       |59.9445    |
|1,271          |1,598   |259       |487.9665   |
|1,272          |1,658   |260       |43,878.45  |
|1,273          |1,536   |258       |345.555    |
|1,274          |1,568   |254       |15,153.6   |
|1,275          |1,648   |257       |142.4115   |
|1,276          |1,646   |261       |48,030.675 |
|1,277          |1,672   |251       |823.41     |
|1,278          |1,600   |253       |1,276.275  |
|1,279          |1,522   |255       |2,003.925  |
|1,280          |1,570   |256       |50,860.425 |
|1,281          |1,516   |259       |454.86     |
|1,282          |1,506   |260       |43,878.45  |
|1,283          |1,626   |258       |7,132.125  |
|1,284          |1,542   |254       |28,343.7   |
|1,285          |1,610   |257       |22,516.725 |
|1,286          |1,638   |261       |34,644.225 |
|1,287          |1,582   |251       |836.955    |
|1,288          |1,510   |253       |143.0415   |
|1,289          |1,526   |252       |28,199.325 |
|1,290          |1,644   |256       |3,713.325  |
|1,291          |1,680   |259       |19,952.625 |
|1,292          |1,584   |260       |6,540.66   |
|1,293          |1,620   |258       |5,711.475  |
|1,294          |1,666   |254       |279.783    |
|1,295          |1,592   |257       |97.965     |
|1,296          |1,618   |261       |114.471    |
|1,297          |1,612   |251       |132.6465   |
|1,298          |1,586   |253       |43,878.45  |
|1,299          |1,500   |255       |418.95     |
|1,300          |1,656   |252       |396.9945   |
|1,301          |1,572   |259       |461.79     |
|1,302          |1,562   |260       |234.6435   |
|1,303          |1,662   |258       |37.0755    |
|1,304          |1,682   |250       |21,558.075 |
|1,305          |1,686   |257       |1,913.31   |
|1,306          |1,684   |261       |86,220.75  |
|1,307          |1,534   |251       |839.79     |
|1,308          |1,614   |253       |694.953    |
|1,309          |1,588   |255       |40,471.2   |
|1,310          |1,622   |256       |427.455    |
|1,311          |1,632   |259       |23,671.725 |
|1,312          |1,608   |260       |5,948.25   |
|1,313          |1,576   |258       |91,117.95  |
|1,314          |1,590   |254       |525        |
|1,315          |1,514   |257       |2,003.6835 |
|1,316          |1,498   |261       |26,455.275 |
|1,317          |1,674   |251       |944.37     |
|1,318          |1,652   |253       |51,588.075 |
|1,319          |1,578   |255       |62,843.55  |
|1,320          |1,538   |256       |37,843.575 |
|1,321          |1,556   |259       |25,531.275 |
|1,322          |1,554   |250       |272.7585   |
|1,323          |1,688   |258       |125.748    |
|1,324          |1,580   |254       |150.7905   |
|1,325          |1,496   |257       |2,069.2665 |
|1,326          |1,494   |261       |8,847.3    |
|1,327          |1,650   |251       |171.0765   |
|1,328          |1,654   |253       |20,397.3   |
|1,329          |1,664   |255       |14,628.075 |
|1,330          |1,678   |256       |58,685.55  |
|1,331          |1,616   |259       |563.5665   |
|1,332          |1,492   |260       |272.7585   |
|1,333          |1,602   |250       |1,525.23   |
|1,334          |1,540   |254       |260.1585   |
|1,335          |1,628   |257       |34,644.225 |
|1,336          |1,604   |261       |1,839.5055 |
|1,337          |1,690   |251       |146.286    |
|1,338          |1,566   |253       |102.564    |
|1,339          |1,698   |255       |150.7905   |
|1,340          |1,560   |256       |13,669.425 |
|1,341          |1,692   |259       |9,948.33   |
|1,342          |1,696   |260       |34,118.7   |
|1,343          |1,504   |258       |551.88     |
|1,344          |1,544   |254       |3,811.5    |
|1,345          |1,530   |257       |28,072.275 |
|1,346          |1,508   |261       |37,312.275 |
|1,347          |1,694   |251       |7,623      |
|1,348          |1,624   |253       |28,297.5   |
|1,349          |1,548   |255       |59.9445    |
|1,350          |1,598   |256       |345.555    |
|1,351          |1,658   |252       |43,878.45  |
|1,352          |1,536   |260       |272.1285   |
|1,353          |1,568   |258       |21,252     |
|1,354          |1,648   |254       |142.4115   |
|1,355          |1,646   |257       |48,030.675 |
|1,356          |1,672   |261       |50,983.9365|
|1,357          |1,600   |250       |1,276.275  |
|1,358          |1,522   |253       |2,003.925  |
|1,359          |1,570   |255       |50,860.425 |
|1,360          |1,516   |256       |454.86     |
|1,361          |1,506   |259       |43,878.45  |
|1,362          |1,626   |260       |7,132.125  |
|1,363          |1,542   |258       |28,343.7   |
|1,364          |1,610   |254       |22,516.725 |
|1,365          |1,638   |252       |34,644.225 |
|1,366          |1,582   |261       |513.7965   |
|1,367          |1,510   |251       |143.0415   |
|1,368          |1,526   |253       |28,199.325 |
|1,369          |1,644   |255       |3,713.325  |
|1,370          |1,680   |256       |63,831.075 |
|1,371          |1,584   |259       |9,799.65   |
|1,372          |1,620   |260       |5,711.475  |
|1,373          |1,666   |258       |416.745    |
|1,374          |1,592   |254       |97.965     |
|1,375          |1,618   |257       |114.471    |
|1,376          |1,612   |261       |132.6465   |
|1,377          |1,586   |251       |43,878.45  |
|1,378          |1,500   |253       |418.95     |
|1,379          |1,656   |255       |690.4485   |
|1,380          |1,572   |256       |461.79     |
|1,381          |1,562   |259       |513.1665   |
|1,382          |1,662   |260       |37.0755    |
|1,383          |1,682   |258       |21,558.075 |
|1,384          |1,686   |254       |259.8435   |
|1,385          |1,684   |257       |86,220.75  |
|1,386          |1,534   |261       |515.6865   |
|1,387          |1,614   |251       |533.547    |
|1,388          |1,588   |253       |40,471.2   |
|1,389          |1,622   |252       |661.878    |
|1,390          |1,632   |256       |62,092.8   |
|1,391          |1,608   |259       |5,948.25   |
|1,392          |1,576   |260       |91,117.95  |
|1,393          |1,590   |258       |525        |
|1,394          |1,514   |254       |281.8935   |
|1,395          |1,498   |257       |26,455.275 |
|1,396          |1,674   |261       |944.37     |
|1,397          |1,652   |251       |51,588.075 |
|1,398          |1,578   |253       |62,843.55  |
|1,399          |1,538   |255       |37,843.575 |
|1,400          |1,556   |252       |25,531.275 |
|1,401          |1,554   |259       |501.1965   |
|1,402          |1,688   |260       |125.748    |
|1,403          |1,580   |258       |150.7905   |
|1,404          |1,496   |250       |279.783    |
|1,405          |1,494   |257       |8,847.3    |
|1,406          |1,650   |261       |171.0765   |
|1,407          |1,654   |251       |20,397.3   |
|1,408          |1,664   |253       |14,628.075 |
|1,409          |1,678   |255       |58,685.55  |
|1,410          |1,616   |256       |402.255    |
|1,411          |1,492   |259       |501.1965   |
|1,412          |1,602   |260       |270.8055   |
|1,413          |1,540   |258       |371.2275   |
|1,414          |1,628   |254       |34,644.225 |
|1,415          |1,604   |257       |1,839.5055 |
|1,416          |1,690   |261       |146.286    |
|1,417          |1,566   |251       |102.564    |
|1,418          |1,698   |253       |150.7905   |
|1,419          |1,560   |255       |13,669.425 |
|1,420          |1,692   |256       |9,637.11   |
|1,421          |1,696   |259       |39,258.45  |
|1,422          |1,504   |250       |551.88     |
|1,423          |1,544   |258       |3,176.25   |
|1,424          |1,530   |254       |28,072.275 |
|1,425          |1,508   |257       |37,312.275 |
|1,426          |1,694   |261       |7,623      |
|1,427          |1,624   |251       |28,297.5   |
|1,428          |1,548   |253       |59.9445    |
|1,429          |1,598   |255       |222.0435   |
|1,430          |1,658   |256       |43,878.45  |
|1,431          |1,536   |259       |525.7665   |
|1,432          |1,568   |260       |10,914.75  |
|1,433          |1,648   |250       |142.4115   |
|1,434          |1,646   |254       |28,794.15  |
|1,435          |1,672   |257       |51,807.3465|
|1,436          |1,600   |261       |1,276.275  |
|1,437          |1,522   |251       |2,003.925  |
|1,438          |1,570   |253       |50,860.425 |
|1,439          |1,516   |255       |454.86     |
|1,440          |1,506   |256       |43,878.45  |
|1,441          |1,626   |259       |7,132.125  |
|1,442          |1,542   |260       |28,343.7   |
|1,443          |1,610   |258       |22,516.725 |
|1,444          |1,638   |254       |34,644.225 |
|1,445          |1,582   |257       |364.9275   |
|1,446          |1,510   |261       |143.0415   |
|1,447          |1,526   |251       |28,199.325 |
|1,448          |1,644   |253       |3,713.325  |
|1,449          |1,680   |255       |63,831.075 |
|1,450          |1,584   |256       |9,585.45   |
|1,451          |1,620   |252       |5,711.475  |
|1,452          |1,666   |260       |273.7035   |
|1,453          |1,592   |258       |97.965     |
|1,454          |1,618   |254       |114.471    |
|1,455          |1,612   |257       |132.6465   |
|1,456          |1,586   |261       |43,878.45  |
|1,457          |1,500   |250       |418.95     |
|1,458          |1,656   |253       |633.7485   |
|1,459          |1,572   |255       |461.79     |
|1,460          |1,562   |256       |364.455    |
|1,461          |1,662   |259       |37.0755    |
|1,462          |1,682   |260       |21,558.075 |
|1,463          |1,686   |258       |364.455    |
|1,464          |1,684   |254       |41,048.7   |
|1,465          |1,534   |252       |713.79     |
|1,466          |1,614   |261       |564.8265   |
|1,467          |1,588   |251       |40,471.2   |
|1,468          |1,622   |253       |136.332    |
|1,469          |1,632   |255       |62,092.8   |
|1,470          |1,608   |256       |5,948.25   |
|1,471          |1,576   |259       |91,117.95  |
|1,472          |1,590   |260       |525        |
|1,473          |1,514   |258       |1,721.79   |
|1,474          |1,498   |254       |26,455.275 |
|1,475          |1,674   |257       |944.37     |
|1,476          |1,652   |261       |51,588.075 |
|1,477          |1,578   |251       |62,843.55  |
|1,478          |1,538   |253       |37,843.575 |
|1,479          |1,556   |255       |25,531.275 |
|1,480          |1,554   |256       |358.6275   |
|1,481          |1,688   |259       |125.748    |
|1,482          |1,580   |260       |150.7905   |
|1,483          |1,496   |258       |416.745    |
|1,484          |1,494   |254       |8,847.3    |
|1,485          |1,650   |257       |171.0765   |
|1,486          |1,654   |261       |20,397.3   |
|1,487          |1,664   |251       |14,628.075 |
|1,488          |1,678   |253       |58,685.55  |
|1,489          |1,616   |252       |630.5985   |
|1,490          |1,492   |256       |358.6275   |
|1,491          |1,602   |259       |1,525.23   |
|1,492          |1,540   |260       |228.438    |
|1,493          |1,628   |258       |34,644.225 |
|1,494          |1,604   |254       |257.5755   |
|1,495          |1,690   |257       |146.286    |
|1,496          |1,566   |261       |102.564    |
|1,497          |1,698   |251       |150.7905   |
|1,498          |1,560   |253       |13,669.425 |
|1,499          |1,692   |255       |6,756.12   |
|1,500          |1,696   |252       |50,860.425 |
|1,501          |1,504   |259       |551.88     |
|1,502          |1,544   |260       |3,811.5    |
|1,503          |1,530   |258       |28,072.275 |
|1,504          |1,508   |250       |35,394.975 |
|1,505          |1,694   |257       |7,623      |
|1,506          |1,624   |261       |28,297.5   |
|1,507          |1,548   |251       |59.9445    |
|1,508          |1,598   |253       |598.878    |
|1,509          |1,658   |255       |43,878.45  |
|1,510          |1,536   |256       |377.055    |
|1,511          |1,568   |259       |18,220.125 |
|1,512          |1,648   |260       |142.4115   |
|1,513          |1,646   |258       |19,236.525 |
|1,514          |1,672   |254       |285.0435   |
|1,515          |1,600   |257       |1,276.275  |
|1,516          |1,522   |261       |2,003.925  |
|1,517          |1,570   |251       |50,860.425 |
|1,518          |1,516   |253       |454.86     |
|1,519          |1,506   |255       |43,878.45  |
|1,520          |1,626   |256       |7,132.125  |
|1,521          |1,542   |259       |28,343.7   |
|1,522          |1,610   |250       |22,516.725 |
|1,523          |1,638   |258       |34,644.225 |
|1,524          |1,582   |254       |278.838    |
|1,525          |1,510   |257       |143.0415   |
|1,526          |1,526   |261       |28,199.325 |
|1,527          |1,644   |251       |3,713.325  |
|1,528          |1,680   |253       |63,831.075 |
|1,529          |1,584   |255       |6,754.86   |
|1,530          |1,620   |256       |5,711.475  |
|1,531          |1,666   |259       |503.0865   |
|1,532          |1,592   |260       |97.965     |
|1,533          |1,618   |250       |114.471    |
|1,534          |1,612   |254       |132.6465   |
|1,535          |1,586   |257       |43,878.45  |
|1,536          |1,500   |261       |418.95     |
|1,537          |1,656   |251       |744.1245   |
|1,538          |1,572   |253       |461.79     |
|1,539          |1,562   |255       |617.6835   |
|1,540          |1,662   |256       |37.0755    |
|1,541          |1,682   |259       |21,558.075 |
|1,542          |1,686   |260       |234.6435   |
|1,543          |1,684   |258       |45,172.05  |
|1,544          |1,534   |254       |279.783    |
|1,545          |1,614   |257       |663.6735   |
|1,546          |1,588   |261       |40,471.2   |
|1,547          |1,622   |251       |836.01     |
|1,548          |1,632   |253       |62,092.8   |
|1,549          |1,608   |255       |5,948.25   |
|1,550          |1,576   |256       |91,117.95  |
|1,551          |1,590   |252       |525        |
|1,552          |1,514   |260       |281.8935   |
|1,553          |1,498   |258       |26,455.275 |
|1,554          |1,674   |254       |944.37     |
|1,555          |1,652   |257       |51,588.075 |
|1,556          |1,578   |261       |62,843.55  |
|1,557          |1,538   |250       |37,843.575 |
|1,558          |1,556   |253       |25,531.275 |
|1,559          |1,554   |255       |234.9585   |
|1,560          |1,688   |256       |125.748    |
|1,561          |1,580   |259       |150.7905   |
|1,562          |1,496   |260       |273.7035   |
|1,563          |1,494   |258       |8,847.3    |
|1,564          |1,650   |254       |171.0765   |
|1,565          |1,654   |252       |20,397.3   |
|1,566          |1,664   |261       |14,628.075 |
|1,567          |1,678   |251       |58,685.55  |
|1,568          |1,616   |253       |567.378    |
|1,569          |1,492   |255       |234.9585   |
|1,570          |1,602   |256       |1,796.0355 |
|1,571          |1,540   |259       |514.7415   |
|1,572          |1,628   |260       |34,644.225 |
|1,573          |1,604   |258       |1,581.93   |
|1,574          |1,690   |254       |146.286    |
|1,575          |1,566   |257       |102.564    |
|1,576          |1,698   |261       |150.7905   |
|1,577          |1,560   |251       |13,669.425 |
|1,578          |1,692   |253       |16,393.23  |
|1,579          |1,696   |255       |79,204.125 |
|1,580          |1,504   |256       |551.88     |
|1,581          |1,544   |259       |3,176.25   |
|1,582          |1,530   |260       |28,072.275 |
|1,583          |1,508   |258       |1,917.3    |
|1,584          |1,694   |254       |4,215.75   |
|1,585          |1,624   |257       |28,297.5   |
|1,586          |1,548   |261       |59.9445    |
|1,587          |1,598   |251       |456.687    |
|1,588          |1,658   |253       |43,878.45  |
|1,589          |1,536   |252       |592.7985   |
|1,590          |1,568   |256       |13,825.35  |
|1,591          |1,648   |259       |142.4115   |
|1,592          |1,646   |260       |28,794.15  |
|1,593          |1,672   |258       |408.555    |
|1,594          |1,600   |254       |1,276.275  |
|1,595          |1,522   |257       |2,003.925  |
|1,596          |1,570   |261       |50,860.425 |
|1,597          |1,516   |251       |454.86     |
|1,598          |1,506   |253       |43,878.45  |
|1,599          |1,626   |255       |7,132.125  |
|1,600          |1,542   |252       |28,343.7   |
|1,601          |1,610   |259       |22,516.725 |
|1,602          |1,638   |260       |34,644.225 |
|1,603          |1,582   |258       |415.3275   |
|1,604          |1,510   |250       |143.0415   |
|1,605          |1,526   |257       |28,199.325 |
|1,606          |1,644   |261       |3,713.325  |
|1,607          |1,680   |251       |63,831.075 |
|1,608          |1,584   |253       |16,340.31  |
|1,609          |1,620   |255       |5,711.475  |
|1,610          |1,666   |256       |360.045    |
|1,611          |1,592   |259       |97.965     |
|1,612          |1,618   |260       |114.471    |
|1,613          |1,612   |258       |132.6465   |
|1,614          |1,586   |254       |43,878.45  |
|1,615          |1,500   |257       |418.95     |
|1,616          |1,656   |261       |558.117    |
|1,617          |1,572   |251       |461.79     |
|1,618          |1,562   |253       |662.0985   |
|1,619          |1,662   |255       |37.0755    |
|1,620          |1,682   |256       |21,558.075 |
|1,621          |1,686   |259       |475.6815   |
|1,622          |1,684   |250       |41,048.7   |
