|purchaseorderid|purchaseorderdetailid|productid|orderqty|unitprice|
|1,188          |2,683                |535      |550     |3.486    |
|1,189          |2,684                |351      |550     |6.195    |
|1,189          |2,685                |352      |550     |1.47     |
|1,189          |2,686                |679      |550     |6.195    |
|1,190          |2,687                |507      |550     |22.1655  |
|1,190          |2,688                |508      |550     |29.2845  |
|1,191          |2,689                |491      |3       |19.9815  |
|1,192          |2,690                |349      |3       |39.144   |
|1,193          |2,691                |935      |550     |31.4895  |
|1,193          |2,692                |936      |550     |48.2895  |
|1,194          |2,693                |375      |3       |43.344   |
|1,194          |2,694                |376      |3       |39.0705  |
|1,195          |2,695                |480      |550     |11.6655  |
|1,195          |2,696                |481      |550     |11.088   |
|1,195          |2,697                |482      |550     |8.757    |
|1,195          |2,698                |483      |550     |9.6915   |
|1,195          |2,699                |484      |550     |6.8775   |
|1,195          |2,700                |485      |550     |7.8015   |
|1,195          |2,701                |486      |550     |8.757    |
|1,195          |2,702                |487      |550     |5.8065   |
|1,195          |2,703                |488      |550     |8.862    |
|1,195          |2,704                |489      |550     |10.4685  |
|1,196          |2,705                |402      |3       |47.4705  |
|1,197          |2,706                |510      |550     |23.079   |
|1,197          |2,707                |511      |550     |29.274   |
|1,197          |2,708                |512      |550     |34.9755  |
|1,198          |2,709                |408      |3       |43.2705  |
|1,198          |2,710                |409      |3       |41.1705  |
|1,198          |2,711                |914      |550     |21.0945  |
|1,198          |2,712                |915      |550     |30.4395  |
|1,198          |2,713                |916      |550     |40.9395  |
|1,199          |2,714                |525      |550     |2.3205   |
|1,200          |2,715                |526      |550     |3.6435   |
|1,201          |2,716                |913      |550     |40.9395  |
|1,202          |2,717                |356      |60      |3.6015   |
|1,202          |2,718                |357      |60      |3.9795   |
|1,203          |2,719                |935      |550     |31.4895  |
|1,203          |2,720                |936      |550     |48.2895  |
|1,204          |2,721                |524      |550     |12.9675  |
|1,205          |2,722                |911      |550     |21.0945  |
|1,205          |2,723                |912      |550     |30.4395  |
|1,206          |2,724                |910      |550     |40.9395  |
|1,207          |2,725                |937      |550     |62.9895  |
|1,208          |2,726                |471      |3       |45.4965  |
|1,208          |2,727                |472      |3       |41.223   |
|1,208          |2,728                |473      |3       |39.123   |
|1,208          |2,729                |474      |3       |43.3965  |
|1,208          |2,730                |475      |3       |39.123   |
|1,209          |2,731                |462      |3       |47.6805  |
|1,210          |2,732                |510      |550     |23.4045  |
|1,210          |2,733                |511      |550     |27.867   |
|1,211          |2,734                |527      |550     |6.7515   |
|1,212          |2,735                |938      |550     |31.4895  |
|1,212          |2,736                |939      |550     |48.2895  |
|1,213          |2,737                |494      |60      |50.7465  |
|1,213          |2,738                |495      |60      |62.9265  |
|1,213          |2,739                |496      |60      |49.6545  |
|1,214          |2,740                |523      |550     |10.3845  |
|1,215          |2,741                |429      |3       |41.3805  |
|1,215          |2,742                |430      |3       |45.654   |
|1,215          |2,743                |431      |3       |41.3805  |
|1,215          |2,744                |432      |3       |39.2805  |
|1,215          |2,745                |433      |3       |43.554   |
|1,215          |2,746                |434      |3       |39.2805  |
|1,215          |2,747                |435      |3       |37.1805  |
|1,215          |2,748                |436      |3       |41.454   |
|1,215          |2,749                |437      |3       |37.1805  |
|1,216          |2,750                |490      |3       |12.7155  |
|1,216          |2,751                |491      |3       |19.9395  |
|1,217          |2,752                |528      |3       |38.157   |
|1,218          |2,753                |505      |3       |44.2155  |
|1,219          |2,754                |938      |550     |31.4895  |
|1,219          |2,755                |939      |550     |48.2895  |
|1,220          |2,756                |358      |60      |6.9825   |
|1,221          |2,757                |377      |3       |43.2705  |
|1,221          |2,758                |378      |3       |41.1705  |
|1,221          |2,759                |379      |3       |45.444   |
|1,221          |2,760                |380      |3       |41.1705  |
|1,222          |2,761                |356      |60      |3.381    |
|1,222          |2,762                |357      |60      |4.3155   |
|1,223          |2,763                |393      |3       |39.0705  |
|1,223          |2,764                |394      |3       |43.344   |
|1,223          |2,765                |395      |3       |39.0705  |
|1,224          |2,766                |490      |3       |12.3585  |
|1,225          |2,767                |513      |550     |39.1965  |
|1,226          |2,768                |403      |3       |45.444   |
|1,226          |2,769                |404      |3       |41.1705  |
|1,226          |2,770                |405      |3       |39.0705  |
|1,226          |2,771                |406      |3       |43.344   |
|1,227          |2,772                |931      |550     |34.8705  |
|1,227          |2,773                |932      |550     |39.7635  |
|1,227          |2,774                |933      |550     |43.9845  |
|1,227          |2,775                |934      |550     |38.1465  |
|1,228          |2,776                |437      |3       |37.1805  |
|1,229          |2,777                |347      |3       |43.3755  |
|1,229          |2,778                |348      |3       |41.2755  |
|1,229          |2,779                |349      |3       |45.549   |
|1,230          |2,780                |931      |550     |34.3455  |
|1,230          |2,781                |932      |550     |39.2385  |
|1,231          |2,782                |349      |3       |45.444   |
|1,232          |2,783                |928      |550     |32.7705  |
|1,232          |2,784                |929      |550     |37.086   |
|1,233          |2,785                |332      |550     |10.815   |
|1,234          |2,786                |948      |550     |82.8345  |
|1,234          |2,787                |907      |550     |82.8345  |
|1,235          |2,788                |325      |1,250   |0.21     |
|1,235          |2,789                |326      |1,250   |0.21     |
|1,236          |2,790                |320      |3       |49.644   |
|1,236          |2,791                |321      |3       |44.3205  |
|1,236          |2,792                |322      |60      |28.6965  |
|1,237          |2,793                |930      |550     |42.5145  |
|1,237          |2,794                |921      |550     |5.586    |
|1,238          |2,795                |952      |60      |15.7395  |
|1,239          |2,796                |923      |550     |6.1845   |
|1,240          |2,797                |317      |550     |29.5785  |
|1,240          |2,798                |318      |550     |36.099   |
|1,240          |2,799                |319      |550     |48.5835  |
|1,241          |2,800                |928      |550     |32.2455  |
|1,241          |2,801                |929      |550     |36.561   |
|1,242          |2,802                |319      |550     |46.4205  |
|1,243          |2,803                |361      |3       |49.6965  |
|1,243          |2,804                |362      |3       |45.423   |
|1,243          |2,805                |363      |3       |43.323   |
|1,244          |2,806                |2        |3       |41.916   |
|1,245          |2,807                |1        |3       |50.2635  |
|1,246          |2,808                |372      |3       |37.1805  |
|1,246          |2,809                |373      |3       |41.454   |
|1,246          |2,810                |374      |3       |37.1805  |
|1,247          |2,811                |530      |550     |16.086   |
|1,248          |2,812                |4        |3       |57.0255  |
|1,249          |2,813                |512      |550     |37.086   |
|1,250          |2,814                |513      |550     |26.5965  |
|1,251          |2,815                |319      |550     |46.0635  |
|1,252          |2,816                |420      |3       |39.144   |
|1,252          |2,817                |421      |3       |47.5755  |
|1,253          |2,818                |424      |3       |49.6965  |
|1,253          |2,819                |425      |3       |45.423   |
|1,253          |2,820                |426      |3       |43.323   |
|1,254          |2,821                |320      |3       |47.4705  |
|1,254          |2,822                |321      |3       |42.798   |
|1,255          |2,823                |438      |3       |41.223   |
|1,255          |2,824                |439      |3       |45.4965  |
|1,255          |2,825                |440      |3       |41.223   |
|1,255          |2,826                |441      |3       |39.123   |
|1,255          |2,827                |442      |3       |43.3965  |
|1,255          |2,828                |443      |3       |39.123   |
|1,255          |2,829                |444      |3       |37.023   |
|1,255          |2,830                |445      |3       |41.2965  |
|1,255          |2,831                |446      |3       |37.023   |
|1,255          |2,832                |447      |3       |47.6805  |
|1,255          |2,833                |448      |3       |45.5805  |
|1,255          |2,834                |449      |3       |49.854   |
|1,255          |2,835                |450      |3       |45.5805  |
|1,255          |2,836                |451      |3       |43.4805  |
|1,255          |2,837                |452      |3       |47.754   |
|1,255          |2,838                |453      |3       |43.4805  |
|1,255          |2,839                |454      |3       |41.3805  |
|1,255          |2,840                |455      |3       |45.654   |
|1,255          |2,841                |456      |3       |41.3805  |
|1,255          |2,842                |457      |3       |39.2805  |
|1,255          |2,843                |458      |3       |43.554   |
|1,255          |2,844                |459      |3       |39.2805  |
|1,255          |2,845                |460      |3       |37.1805  |
|1,255          |2,846                |461      |3       |41.454   |
|1,256          |2,847                |941      |550     |62.9895  |
|1,257          |2,848                |320      |3       |45.3705  |
|1,257          |2,849                |321      |3       |40.488   |
|1,257          |2,850                |322      |60      |26.3655  |
|1,258          |2,851                |504      |3       |48.762   |
|1,259          |2,852                |497      |3       |34.188   |
|1,260          |2,853                |323      |3       |50.2635  |
|1,261          |2,854                |523      |550     |10.731   |
|1,261          |2,855                |524      |550     |14.1225  |
|1,262          |2,856                |492      |60      |50.2635  |
|1,262          |2,857                |493      |60      |57.1515  |
|1,263          |2,858                |910      |550     |40.9395  |
|1,263          |2,859                |911      |550     |21.0945  |
|1,263          |2,860                |912      |550     |30.4395  |
|1,264          |2,861                |506      |60      |9.198    |
|1,265          |2,862                |351      |550     |5.775    |
|1,265          |2,863                |352      |550     |1.155    |
|1,265          |2,864                |679      |550     |5.775    |
|1,266          |2,865                |507      |550     |23.394   |
|1,266          |2,866                |508      |550     |27.6465  |
|1,267          |2,867                |355      |550     |1.365    |
|1,267          |2,868                |940      |550     |62.9895  |
|1,267          |2,869                |535      |550     |3.486    |
|1,268          |2,870                |351      |550     |6.195    |
|1,268          |2,871                |352      |550     |1.47     |
|1,268          |2,872                |679      |550     |6.195    |
|1,269          |2,873                |507      |550     |22.1655  |
|1,269          |2,874                |508      |550     |29.2845  |
|1,270          |2,875                |491      |3       |19.9815  |
|1,271          |2,876                |341      |3       |41.1705  |
|1,271          |2,877                |342      |3       |39.0705  |
|1,271          |2,878                |343      |3       |43.344   |
|1,271          |2,879                |344      |3       |39.0705  |
|1,272          |2,880                |935      |550     |31.4895  |
|1,272          |2,881                |936      |550     |48.2895  |
|1,273          |2,882                |377      |3       |36.9705  |
|1,273          |2,883                |378      |3       |41.244   |
|1,273          |2,884                |379      |3       |36.9705  |
|1,274          |2,885                |476      |550     |15.8865  |
|1,274          |2,886                |477      |550     |11.6655  |
|1,275          |2,887                |402      |3       |47.4705  |
|1,276          |2,888                |510      |550     |23.079   |
|1,276          |2,889                |511      |550     |29.274   |
|1,276          |2,890                |512      |550     |34.9755  |
|1,277          |2,891                |403      |3       |45.3705  |
|1,277          |2,892                |404      |3       |49.644   |
|1,277          |2,893                |405      |3       |45.3705  |
|1,277          |2,894                |406      |3       |43.2705  |
|1,277          |2,895                |407      |3       |47.544   |
|1,277          |2,896                |408      |3       |43.2705  |
|1,278          |2,897                |525      |550     |2.3205   |
|1,279          |2,898                |526      |550     |3.6435   |
|1,280          |2,899                |908      |550     |21.0945  |
|1,280          |2,900                |909      |550     |30.4395  |
|1,280          |2,901                |913      |550     |40.9395  |
|1,281          |2,902                |356      |60      |3.6015   |
|1,281          |2,903                |357      |60      |3.9795   |
|1,282          |2,904                |935      |550     |31.4895  |
|1,282          |2,905                |936      |550     |48.2895  |
|1,283          |2,906                |524      |550     |12.9675  |
|1,284          |2,907                |911      |550     |21.0945  |
|1,284          |2,908                |912      |550     |30.4395  |
|1,285          |2,909                |910      |550     |40.9395  |
|1,286          |2,910                |937      |550     |62.9895  |
|1,287          |2,911                |463      |3       |47.523   |
|1,287          |2,912                |464      |3       |45.423   |
|1,287          |2,913                |465      |3       |49.6965  |
|1,287          |2,914                |466      |3       |45.423   |
|1,287          |2,915                |467      |3       |43.323   |
|1,287          |2,916                |468      |3       |47.5965  |
|1,288          |2,917                |462      |3       |47.6805  |
|1,289          |2,918                |510      |550     |23.4045  |
|1,289          |2,919                |511      |550     |27.867   |
|1,290          |2,920                |527      |550     |6.7515   |
|1,291          |2,921                |509      |550     |36.2775  |
|1,292          |2,922                |492      |60      |50.7465  |
|1,292          |2,923                |493      |60      |58.2645  |
|1,293          |2,924                |523      |550     |10.3845  |
|1,294          |2,925                |422      |3       |47.6805  |
|1,294          |2,926                |423      |3       |45.5805  |
|1,295          |2,927                |490      |3       |12.7155  |
|1,295          |2,928                |491      |3       |19.9395  |
|1,296          |2,929                |528      |3       |38.157   |
|1,297          |2,930                |505      |3       |44.2155  |
|1,298          |2,931                |938      |550     |31.4895  |
|1,298          |2,932                |939      |550     |48.2895  |
|1,299          |2,933                |358      |60      |6.9825   |
|1,300          |2,934                |381      |3       |39.0705  |
|1,300          |2,935                |438      |3       |47.6805  |
|1,300          |2,936                |439      |3       |45.5805  |
|1,301          |2,937                |356      |60      |3.381    |
|1,301          |2,938                |357      |60      |4.3155   |
|1,302          |2,939                |396      |3       |36.9705  |
|1,302          |2,940                |397      |3       |41.244   |
|1,303          |2,941                |490      |3       |12.3585  |
|1,304          |2,942                |513      |550     |39.1965  |
|1,305          |2,943                |407      |3       |39.0705  |
|1,305          |2,944                |408      |3       |36.9705  |
|1,305          |2,945                |409      |3       |41.244   |
|1,305          |2,946                |410      |3       |36.9705  |
|1,305          |2,947                |411      |3       |34.8705  |
|1,305          |2,948                |412      |3       |39.144   |
|1,305          |2,949                |413      |3       |47.5755  |
|1,305          |2,950                |414      |3       |45.4755  |
|1,305          |2,951                |415      |3       |49.749   |
|1,305          |2,952                |416      |3       |45.4755  |
|1,305          |2,953                |417      |3       |43.3755  |
|1,305          |2,954                |418      |3       |47.649   |
|1,305          |2,955                |419      |3       |43.3755  |
|1,305          |2,956                |420      |3       |41.2755  |
|1,305          |2,957                |421      |3       |45.549   |
|1,306          |2,958                |931      |550     |34.8705  |
|1,306          |2,959                |932      |550     |39.7635  |
|1,306          |2,960                |933      |550     |43.9845  |
|1,306          |2,961                |934      |550     |38.1465  |
|1,307          |2,962                |422      |3       |47.6805  |
|1,307          |2,963                |423      |3       |45.5805  |
|1,307          |2,964                |424      |3       |49.854   |
|1,307          |2,965                |425      |3       |45.5805  |
|1,307          |2,966                |426      |3       |43.4805  |
|1,307          |2,967                |427      |3       |47.754   |
|1,308          |2,968                |341      |3       |47.5755  |
|1,308          |2,969                |342      |3       |45.4755  |
|1,308          |2,970                |343      |3       |49.749   |
|1,308          |2,971                |344      |3       |45.4755  |
|1,308          |2,972                |345      |3       |43.3755  |
|1,309          |2,973                |931      |550     |34.3455  |
|1,309          |2,974                |932      |550     |39.2385  |
|1,310          |2,975                |341      |3       |47.4705  |
|1,310          |2,976                |342      |3       |45.3705  |
|1,310          |2,977                |343      |3       |49.644   |
|1,311          |2,978                |930      |550     |43.0395  |
|1,312          |2,979                |332      |550     |10.815   |
|1,313          |2,980                |948      |550     |82.8345  |
|1,313          |2,981                |907      |550     |82.8345  |
|1,314          |2,982                |325      |1,250   |0.21     |
|1,314          |2,983                |326      |1,250   |0.21     |
|1,315          |2,984                |320      |3       |49.644   |
|1,315          |2,985                |321      |3       |44.3205  |
|1,315          |2,986                |322      |60      |28.6965  |
|1,316          |2,987                |930      |550     |42.5145  |
|1,316          |2,988                |921      |550     |5.586    |
|1,317          |2,989                |952      |60      |15.7395  |
|1,318          |2,990                |933      |550     |43.4595  |
|1,318          |2,991                |934      |550     |37.6215  |
|1,318          |2,992                |922      |550     |6.531    |
|1,318          |2,993                |923      |550     |6.1845   |
|1,319          |2,994                |317      |550     |29.5785  |
|1,319          |2,995                |318      |550     |36.099   |
|1,319          |2,996                |319      |550     |48.5835  |
|1,320          |2,997                |928      |550     |32.2455  |
|1,320          |2,998                |929      |550     |36.561   |
|1,321          |2,999                |319      |550     |46.4205  |
|1,322          |3,000                |364      |3       |47.5965  |
|1,322          |3,001                |365      |3       |43.323   |
|1,323          |3,002                |2        |3       |41.916   |
|1,324          |3,003                |1        |3       |50.2635  |
|1,325          |3,004                |359      |3       |47.6805  |
|1,325          |3,005                |360      |3       |45.5805  |
|1,325          |3,006                |361      |3       |49.854   |
|1,325          |3,007                |362      |3       |45.5805  |
|1,325          |3,008                |363      |3       |43.4805  |
|1,325          |3,009                |364      |3       |47.754   |
|1,325          |3,010                |365      |3       |43.4805  |
|1,325          |3,011                |366      |3       |41.3805  |
|1,325          |3,012                |367      |3       |45.654   |
|1,325          |3,013                |368      |3       |41.3805  |
|1,325          |3,014                |369      |3       |39.2805  |
|1,325          |3,015                |370      |3       |43.554   |
|1,325          |3,016                |371      |3       |39.2805  |
|1,325          |3,017                |372      |3       |37.1805  |
|1,325          |3,018                |373      |3       |41.454   |
|1,325          |3,019                |374      |3       |37.1805  |
|1,326          |3,020                |530      |550     |16.086   |
|1,327          |3,021                |4        |3       |57.0255  |
|1,328          |3,022                |512      |550     |37.086   |
|1,329          |3,023                |513      |550     |26.5965  |
|1,330          |3,024                |317      |550     |27.0585  |
|1,330          |3,025                |318      |550     |33.579   |
|1,330          |3,026                |319      |550     |46.0635  |
|1,331          |3,027                |403      |3       |47.4705  |
|1,331          |3,028                |404      |3       |45.3705  |
|1,331          |3,029                |405      |3       |49.644   |
|1,331          |3,030                |406      |3       |45.3705  |
|1,332          |3,031                |427      |3       |47.5965  |
|1,332          |3,032                |428      |3       |43.323   |
|1,333          |3,033                |322      |60      |25.4205  |
|1,334          |3,034                |438      |3       |41.223   |
|1,334          |3,035                |439      |3       |45.4965  |
|1,335          |3,036                |941      |550     |62.9895  |
|1,336          |3,037                |320      |3       |45.3705  |
|1,336          |3,038                |321      |3       |40.488   |
|1,336          |3,039                |322      |60      |26.3655  |
|1,337          |3,040                |504      |3       |48.762   |
|1,338          |3,041                |497      |3       |34.188   |
|1,339          |3,042                |323      |3       |50.2635  |
|1,340          |3,043                |523      |550     |10.731   |
|1,340          |3,044                |524      |550     |14.1225  |
|1,341          |3,045                |494      |60      |53.2035  |
|1,341          |3,046                |495      |60      |63.693   |
|1,341          |3,047                |496      |60      |48.909   |
|1,342          |3,048                |913      |550     |40.9395  |
|1,342          |3,049                |914      |550     |21.0945  |
|1,343          |3,050                |506      |60      |9.198    |
|1,344          |3,051                |351      |550     |5.775    |
|1,344          |3,052                |352      |550     |1.155    |
|1,345          |3,053                |507      |550     |23.394   |
|1,345          |3,054                |508      |550     |27.6465  |
|1,346          |3,055                |355      |550     |1.365    |
|1,346          |3,056                |940      |550     |62.9895  |
|1,346          |3,057                |535      |550     |3.486    |
|1,347          |3,058                |351      |550     |6.195    |
|1,347          |3,059                |352      |550     |1.47     |
|1,347          |3,060                |679      |550     |6.195    |
|1,348          |3,061                |507      |550     |22.1655  |
|1,348          |3,062                |508      |550     |29.2845  |
|1,349          |3,063                |491      |3       |19.9815  |
|1,350          |3,064                |345      |3       |36.9705  |
|1,350          |3,065                |346      |3       |41.244   |
|1,350          |3,066                |347      |3       |36.9705  |
|1,351          |3,067                |935      |550     |31.4895  |
|1,351          |3,068                |936      |550     |48.2895  |
|1,352          |3,069                |380      |3       |43.218   |
|1,352          |3,070                |381      |3       |47.4915  |
|1,353          |3,071                |478      |550     |11.088   |
|1,353          |3,072                |479      |550     |15.8865  |
|1,353          |3,073                |480      |550     |11.6655  |
|1,354          |3,074                |402      |3       |47.4705  |
|1,355          |3,075                |510      |550     |23.079   |
|1,355          |3,076                |511      |550     |29.274   |
|1,355          |3,077                |512      |550     |34.9755  |
|1,356          |3,078                |409      |3       |41.1705  |
|1,356          |3,079                |914      |550     |21.0945  |
|1,356          |3,080                |915      |550     |30.4395  |
|1,356          |3,081                |916      |550     |40.9395  |
|1,357          |3,082                |525      |550     |2.3205   |
|1,358          |3,083                |526      |550     |3.6435   |
|1,359          |3,084                |908      |550     |21.0945  |
|1,359          |3,085                |909      |550     |30.4395  |
|1,359          |3,086                |913      |550     |40.9395  |
|1,360          |3,087                |356      |60      |3.6015   |
|1,360          |3,088                |357      |60      |3.9795   |
|1,361          |3,089                |935      |550     |31.4895  |
|1,361          |3,090                |936      |550     |48.2895  |
|1,362          |3,091                |524      |550     |12.9675  |
|1,363          |3,092                |911      |550     |21.0945  |
|1,363          |3,093                |912      |550     |30.4395  |
|1,364          |3,094                |910      |550     |40.9395  |
|1,365          |3,095                |937      |550     |62.9895  |
|1,366          |3,096                |469      |3       |43.323   |
|1,366          |3,097                |470      |3       |41.223   |
|1,366          |3,098                |471      |3       |45.4965  |
|1,366          |3,099                |472      |3       |41.223   |
|1,367          |3,100                |462      |3       |47.6805  |
|1,368          |3,101                |510      |550     |23.4045  |
|1,368          |3,102                |511      |550     |27.867   |
|1,369          |3,103                |527      |550     |6.7515   |
|1,370          |3,104                |938      |550     |31.4895  |
|1,370          |3,105                |939      |550     |48.2895  |
|1,370          |3,106                |509      |550     |36.2775  |
|1,371          |3,107                |494      |60      |50.7465  |
|1,371          |3,108                |495      |60      |62.9265  |
|1,371          |3,109                |496      |60      |49.6545  |
|1,372          |3,110                |523      |550     |10.3845  |
|1,373          |3,111                |424      |3       |49.854   |
|1,373          |3,112                |425      |3       |45.5805  |
|1,373          |3,113                |426      |3       |43.4805  |
|1,374          |3,114                |490      |3       |12.7155  |
|1,374          |3,115                |491      |3       |19.9395  |
|1,375          |3,116                |528      |3       |38.157   |
|1,376          |3,117                |505      |3       |44.2155  |
|1,377          |3,118                |938      |550     |31.4895  |
|1,377          |3,119                |939      |550     |48.2895  |
|1,378          |3,120                |358      |60      |6.9825   |
|1,379          |3,121                |440      |3       |49.854   |
|1,379          |3,122                |441      |3       |45.5805  |
|1,379          |3,123                |442      |3       |43.4805  |
|1,379          |3,124                |443      |3       |47.754   |
|1,379          |3,125                |444      |3       |43.4805  |
|1,380          |3,126                |356      |60      |3.381    |
|1,380          |3,127                |357      |60      |4.3155   |
|1,381          |3,128                |375      |3       |43.2705  |
|1,381          |3,129                |376      |3       |41.1705  |
|1,381          |3,130                |377      |3       |45.444   |
|1,381          |3,131                |378      |3       |41.1705  |
|1,382          |3,132                |490      |3       |12.3585  |
|1,383          |3,133                |513      |550     |39.1965  |
|1,384          |3,134                |403      |3       |45.444   |
|1,384          |3,135                |404      |3       |41.1705  |
|1,385          |3,136                |931      |550     |34.8705  |
|1,385          |3,137                |932      |550     |39.7635  |
|1,385          |3,138                |933      |550     |43.9845  |
|1,385          |3,139                |934      |550     |38.1465  |
|1,386          |3,140                |428      |3       |43.4805  |
|1,386          |3,141                |429      |3       |41.3805  |
|1,386          |3,142                |430      |3       |45.654   |
|1,386          |3,143                |431      |3       |41.3805  |
|1,387          |3,144                |346      |3       |47.649   |
|1,387          |3,145                |347      |3       |43.3755  |
|1,387          |3,146                |348      |3       |41.2755  |
|1,387          |3,147                |349      |3       |45.549   |
|1,388          |3,148                |931      |550     |34.3455  |
|1,388          |3,149                |932      |550     |39.2385  |
|1,389          |3,150                |344      |3       |45.3705  |
|1,389          |3,151                |345      |3       |43.2705  |
|1,389          |3,152                |346      |3       |47.544   |
|1,389          |3,153                |347      |3       |43.2705  |
|1,389          |3,154                |348      |3       |41.1705  |
|1,390          |3,155                |928      |550     |32.7705  |
|1,390          |3,156                |929      |550     |37.086   |
|1,390          |3,157                |930      |550     |43.0395  |
|1,391          |3,158                |332      |550     |10.815   |
|1,392          |3,159                |948      |550     |82.8345  |
|1,392          |3,160                |907      |550     |82.8345  |
|1,393          |3,161                |325      |1,250   |0.21     |
|1,393          |3,162                |326      |1,250   |0.21     |
|1,394          |3,163                |320      |3       |49.644   |
|1,394          |3,164                |321      |3       |44.3205  |
|1,395          |3,165                |930      |550     |42.5145  |
|1,395          |3,166                |921      |550     |5.586    |
|1,396          |3,167                |952      |60      |15.7395  |
|1,397          |3,168                |933      |550     |43.4595  |
|1,397          |3,169                |934      |550     |37.6215  |
|1,397          |3,170                |922      |550     |6.531    |
|1,397          |3,171                |923      |550     |6.1845   |
|1,398          |3,172                |317      |550     |29.5785  |
|1,398          |3,173                |318      |550     |36.099   |
|1,398          |3,174                |319      |550     |48.5835  |
|1,399          |3,175                |928      |550     |32.2455  |
|1,399          |3,176                |929      |550     |36.561   |
|1,400          |3,177                |319      |550     |46.4205  |
|1,401          |3,178                |366      |3       |41.223   |
|1,401          |3,179                |367      |3       |45.4965  |
|1,401          |3,180                |368      |3       |41.223   |
|1,401          |3,181                |369      |3       |39.123   |
|1,402          |3,182                |2        |3       |41.916   |
|1,403          |3,183                |1        |3       |50.2635  |
|1,404          |3,184                |359      |3       |47.6805  |
|1,404          |3,185                |360      |3       |45.5805  |
|1,405          |3,186                |530      |550     |16.086   |
|1,406          |3,187                |4        |3       |57.0255  |
|1,407          |3,188                |512      |550     |37.086   |
|1,408          |3,189                |513      |550     |26.5965  |
|1,409          |3,190                |317      |550     |27.0585  |
|1,409          |3,191                |318      |550     |33.579   |
|1,409          |3,192                |319      |550     |46.0635  |
|1,410          |3,193                |407      |3       |43.2705  |
|1,410          |3,194                |408      |3       |47.544   |
|1,410          |3,195                |409      |3       |43.2705  |
|1,411          |3,196                |429      |3       |41.223   |
|1,411          |3,197                |430      |3       |45.4965  |
|1,411          |3,198                |431      |3       |41.223   |
|1,411          |3,199                |432      |3       |39.123   |
|1,412          |3,200                |320      |3       |47.4705  |
|1,412          |3,201                |321      |3       |42.798   |
|1,413          |3,202                |440      |3       |41.223   |
|1,413          |3,203                |441      |3       |39.123   |
|1,413          |3,204                |442      |3       |43.3965  |
|1,414          |3,205                |941      |550     |62.9895  |
|1,415          |3,206                |320      |3       |45.3705  |
|1,415          |3,207                |321      |3       |40.488   |
|1,415          |3,208                |322      |60      |26.3655  |
|1,416          |3,209                |504      |3       |48.762   |
|1,417          |3,210                |497      |3       |34.188   |
|1,418          |3,211                |323      |3       |50.2635  |
|1,419          |3,212                |523      |550     |10.731   |
|1,419          |3,213                |524      |550     |14.1225  |
|1,420          |3,214                |492      |60      |50.2635  |
|1,420          |3,215                |493      |60      |57.1515  |
|1,420          |3,216                |494      |60      |53.2035  |
|1,421          |3,217                |915      |550     |30.4395  |
|1,421          |3,218                |916      |550     |40.9395  |
|1,422          |3,219                |506      |60      |9.198    |
|1,423          |3,220                |679      |550     |5.775    |
|1,424          |3,221                |507      |550     |23.394   |
|1,424          |3,222                |508      |550     |27.6465  |
|1,425          |3,223                |355      |550     |1.365    |
|1,425          |3,224                |940      |550     |62.9895  |
|1,425          |3,225                |535      |550     |3.486    |
|1,426          |3,226                |351      |550     |6.195    |
|1,426          |3,227                |352      |550     |1.47     |
|1,426          |3,228                |679      |550     |6.195    |
|1,427          |3,229                |507      |550     |22.1655  |
|1,427          |3,230                |508      |550     |29.2845  |
|1,428          |3,231                |491      |3       |19.9815  |
|1,429          |3,232                |348      |3       |34.8705  |
|1,429          |3,233                |349      |3       |39.144   |
|1,430          |3,234                |935      |550     |31.4895  |
|1,430          |3,235                |936      |550     |48.2895  |
|1,431          |3,236                |382      |3       |43.2705  |
|1,431          |3,237                |383      |3       |47.544   |
|1,431          |3,238                |384      |3       |43.2705  |
|1,431          |3,239                |385      |3       |41.1705  |
|1,432          |3,240                |481      |550     |11.088   |
|1,432          |3,241                |482      |550     |8.757    |
|1,433          |3,242                |402      |3       |47.4705  |
|1,434          |3,243                |510      |550     |23.079   |
|1,434          |3,244                |511      |550     |29.274   |
|1,435          |3,245                |403      |3       |45.3705  |
|1,435          |3,246                |404      |3       |49.644   |
|1,435          |3,247                |405      |3       |45.3705  |
|1,435          |3,248                |406      |3       |43.2705  |
|1,435          |3,249                |407      |3       |47.544   |
|1,435          |3,250                |408      |3       |43.2705  |
|1,435          |3,251                |409      |3       |41.1705  |
|1,435          |3,252                |914      |550     |21.0945  |
|1,435          |3,253                |915      |550     |30.4395  |
|1,435          |3,254                |916      |550     |40.9395  |
|1,436          |3,255                |525      |550     |2.3205   |
|1,437          |3,256                |526      |550     |3.6435   |
|1,438          |3,257                |908      |550     |21.0945  |
|1,438          |3,258                |909      |550     |30.4395  |
|1,438          |3,259                |913      |550     |40.9395  |
|1,439          |3,260                |356      |60      |3.6015   |
|1,439          |3,261                |357      |60      |3.9795   |
|1,440          |3,262                |935      |550     |31.4895  |
|1,440          |3,263                |936      |550     |48.2895  |
|1,441          |3,264                |524      |550     |12.9675  |
|1,442          |3,265                |911      |550     |21.0945  |
|1,442          |3,266                |912      |550     |30.4395  |
|1,443          |3,267                |910      |550     |40.9395  |
|1,444          |3,268                |937      |550     |62.9895  |
|1,445          |3,269                |473      |3       |39.123   |
|1,445          |3,270                |474      |3       |43.3965  |
|1,445          |3,271                |475      |3       |39.123   |
